Query	Hit_type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short_name	Incomplete	Superfamily
A_ang_AANG005961	specific	438889	113	158	1.68696e-14	66.4916	cd22117	F-box_FBXL4	 - 	cl45894
A_ang_AANG005961	superfamily	447678	183	295	2.36204e-14	68.1463	cl09109	NTF2_like superfamily	 - 	 - 
A_ang_AANG003782	superfamily	447678	130	243	1.30953e-14	68.1463	cl09109	NTF2_like superfamily	 - 	 - 
A_ang_AANG003782	superfamily	226397	80	124	4.38794e-06	45.5485	cl27457	McsA superfamily	N	 - 
A_tha_AT4G10925.1	specific	433238	108	221	3.13948e-24	93.1843	pfam13474	SnoaL_3	 - 	cl09109
A_tha_AT4G10925.1	specific	438889	38	83	2.88519e-18	75.3512	cd22117	F-box_FBXL4	 - 	cl45894
A_tha_AT4G23960.1	superfamily	459239	3	48	3.22936e-11	54.1652	cl45894	F-box_SF superfamily	 - 	 - 
A_tha_AT4G23960.1	superfamily	447678	73	115	0.00210946	35.4043	cl09109	NTF2_like superfamily	C	 - 
A_tha_AT3G09250.1	specific	433238	124	241	2.71835e-21	85.8655	pfam13474	SnoaL_3	 - 	cl09109
A_tha_AT3G09250.1	specific	308001	88	118	1.0723e-06	43.9244	pfam02151	UVR	 - 	cl12262
B_bra_Bobra.0326s0009.1.p	superfamily	447678	1	100	5.48826e-15	65.0647	cl09109	NTF2_like superfamily	 - 	 - 
C_bra_GBG88601	specific	433238	241	353	1.96019e-19	82.7839	pfam13474	SnoaL_3	 - 	cl09109
C_bra_GBG88601	specific	438889	171	216	4.30781e-15	68.4176	cd22117	F-box_FBXL4	 - 	cl45894
C_par_Contig39652	superfamily	447678	168	245	7.26281e-13	63.5239	cl09109	NTF2_like superfamily	N	 - 
E_sal_Thhalv10021409m	specific	433238	124	241	6.59041e-23	89.7175	pfam13474	SnoaL_3	 - 	cl09109
E_sal_Thhalv10021409m	specific	308001	88	118	2.55727e-05	40.0724	pfam02151	UVR	 - 	cl12262
E_sal_Thhalv10028928m	specific	433238	114	227	3.48133e-26	98.1919	pfam13474	SnoaL_3	 - 	cl09109
E_sal_Thhalv10028928m	specific	438889	44	89	3.18474e-18	75.3512	cd22117	F-box_FBXL4	 - 	cl45894
M_end_ME000147S01101	specific	433238	142	256	7.20283e-21	85.0951	pfam13474	SnoaL_3	 - 	cl09109
M_end_ME000147S01101	specific	438889	72	117	4.93873e-13	61.8692	cd22117	F-box_FBXL4	 - 	cl45894
M_pol_Mapoly0024s0042.1.p	specific	433238	203	315	9.42232e-22	88.5619	pfam13474	SnoaL_3	 - 	cl09109
M_pol_Mapoly0024s0042.1.p	specific	438889	133	178	1.14746e-15	69.9584	cd22117	F-box_FBXL4	 - 	cl45894
O_luc_7291	superfamily	447678	31	143	7.13388e-10	53.1235	cl09109	NTF2_like superfamily	 - 	 - 
O_luc_7291	specific	308001	1	25	8.02331e-05	37.7612	pfam02151	UVR	N	cl12262
O_sat_LOC_Os01g54960.1	specific	433238	122	238	1.21661e-19	81.2431	pfam13474	SnoaL_3	 - 	cl09109
O_sat_LOC_Os01g54960.1	specific	308001	86	112	8.39173e-05	38.9168	pfam02151	UVR	 - 	cl12262
O_sat_LOC_Os01g36940.1	specific	433238	166	285	2.21728e-30	110.518	pfam13474	SnoaL_3	 - 	cl09109
O_sat_LOC_Os01g36940.1	specific	438889	96	141	9.82384e-16	69.5732	cd22117	F-box_FBXL4	 - 	cl45894
O_sat_LOC_Os02g54710.1	specific	433238	119	236	1.08848e-18	78.9319	pfam13474	SnoaL_3	 - 	cl09109
O_sat_LOC_Os02g54710.1	specific	308001	83	113	9.55017e-06	41.228	pfam02151	UVR	 - 	cl12262
P_umb_Pum0256s0007.1.p	superfamily	447678	3	124	6.71251e-12	58.5163	cl09109	NTF2_like superfamily	 - 	 - 
S_lyc_Solyc09g011730.3.1	specific	433238	238	354	1.08855e-19	83.5543	pfam13474	SnoaL_3	 - 	cl09109
S_lyc_Solyc09g011730.3.1	specific	308001	202	232	2.80088e-05	40.4576	pfam02151	UVR	 - 	cl12262
S_lyc_Solyc08g082560.3.1	specific	433238	167	278	2.19288e-22	89.7175	pfam13474	SnoaL_3	 - 	cl09109
S_lyc_Solyc08g082560.3.1	specific	438889	97	142	7.89535e-18	75.3512	cd22117	F-box_FBXL4	 - 	cl45894
S_moe_82180	specific	433238	104	216	3.89926e-22	87.4063	pfam13474	SnoaL_3	 - 	cl09109
S_moe_82180	specific	438889	34	79	1.53635e-16	70.7288	cd22117	F-box_FBXL4	 - 	cl45894
S_moe_36847	specific	433238	39	154	6.03552e-19	77.0059	pfam13474	SnoaL_3	 - 	cl09109
S_moe_36847	specific	308001	5	33	1.96373e-05	39.6872	pfam02151	UVR	 - 	cl12262
S_pol_Spipo14G0026700	specific	438889	32	77	4.52624e-19	72.2696	cd22117	F-box_FBXL4	 - 	cl45894
S_pol_Spipo23G0009300	specific	433238	82	198	1.72169e-23	90.1027	pfam13474	SnoaL_3	 - 	cl09109
S_pol_Spipo23G0009300	specific	308001	46	76	0.000320944	36.9908	pfam02151	UVR	 - 	cl12262
